,visit_date,visitors
0,2016-07-01,11375
1,2016-07-02,11613
2,2016-07-03,7940
3,2016-07-04,6553
4,2016-07-05,7379
5,2016-07-06,8137
6,2016-07-07,8376
7,2016-07-08,10777
8,2016-07-09,11321
9,2016-07-10,9064
10,2016-07-11,6397
11,2016-07-12,7433
12,2016-07-13,7579
13,2016-07-14,8305
14,2016-07-15,10344
15,2016-07-16,11249
16,2016-07-17,9795
17,2016-07-18,7030
18,2016-07-19,6869
19,2016-07-20,7632
20,2016-07-21,8013
21,2016-07-22,10629
22,2016-07-23,11301
23,2016-07-24,8122
24,2016-07-25,6531
25,2016-07-26,7767
26,2016-07-27,8060
27,2016-07-28,8696
28,2016-07-29,11236
29,2016-07-30,11359
30,2016-07-31,8042
31,2016-08-01,6394
32,2016-08-02,6864
33,2016-08-03,7917
34,2016-08-04,8150
35,2016-08-05,10313
36,2016-08-06,9964
37,2016-08-07,7539
38,2016-08-08,6517
39,2016-08-09,7862
40,2016-08-10,10178
41,2016-08-11,9633
42,2016-08-12,8596
43,2016-08-13,8667
44,2016-08-14,6699
45,2016-08-15,5953
46,2016-08-16,6161
47,2016-08-17,6964
48,2016-08-18,7599
49,2016-08-19,9991
50,2016-08-20,9822
51,2016-08-21,7355
52,2016-08-22,4636
53,2016-08-23,7142
54,2016-08-24,7910
55,2016-08-25,8026
56,2016-08-26,10863
57,2016-08-27,10908
58,2016-08-28,8231
59,2016-08-29,6109
60,2016-08-30,7497
61,2016-08-31,8150
62,2016-09-01,7361
63,2016-09-02,9946
64,2016-09-03,11139
65,2016-09-04,7679
66,2016-09-05,6318
67,2016-09-06,7276
68,2016-09-07,7603
69,2016-09-08,7676
70,2016-09-09,10357
71,2016-09-10,11257
72,2016-09-11,8542
73,2016-09-12,6256
74,2016-09-13,6780
75,2016-09-14,7950
76,2016-09-15,8460
77,2016-09-16,10296
78,2016-09-17,11358
79,2016-09-18,9534
80,2016-09-19,6344
81,2016-09-20,5010
82,2016-09-21,9463
83,2016-09-22,8034
84,2016-09-23,8996
85,2016-09-24,10998
86,2016-09-25,8229
87,2016-09-26,6880
88,2016-09-27,7664
89,2016-09-28,7992
90,2016-09-29,8275
91,2016-09-30,10926
92,2016-10-01,11418
93,2016-10-02,8180
94,2016-10-03,5706
95,2016-10-04,7126
96,2016-10-05,6969
97,2016-10-06,7724
98,2016-10-07,10184
99,2016-10-08,10657
100,2016-10-09,9844
101,2016-10-10,7716
102,2016-10-11,6282
103,2016-10-12,7643
104,2016-10-13,7814
105,2016-10-14,10316
106,2016-10-15,12017
107,2016-10-16,8237
108,2016-10-17,6039
109,2016-10-18,7346
110,2016-10-19,7850
111,2016-10-20,8168
112,2016-10-21,10983
113,2016-10-22,11758
114,2016-10-23,8742
115,2016-10-24,6424
116,2016-10-25,7246
117,2016-10-26,8432
118,2016-10-27,8492
119,2016-10-28,10154
120,2016-10-29,11788
121,2016-10-30,8926
122,2016-10-31,6715
123,2016-11-01,6974
124,2016-11-02,9290
125,2016-11-03,8538
126,2016-11-04,8506
127,2016-11-05,11159
128,2016-11-06,8135
129,2016-11-07,6359
130,2016-11-08,6327
131,2016-11-09,6898
132,2016-11-10,7622
133,2016-11-11,9418
134,2016-11-12,12036
135,2016-11-13,8229
136,2016-11-14,5902
137,2016-11-15,6874
138,2016-11-16,8082
139,2016-11-17,8007
140,2016-11-18,10865
141,2016-11-19,12055
142,2016-11-20,8741
143,2016-11-21,6358
144,2016-11-22,9702
145,2016-11-23,8403
146,2016-11-24,6336
147,2016-11-25,10253
148,2016-11-26,12582
149,2016-11-27,8082
150,2016-11-28,6311
151,2016-11-29,7302
152,2016-11-30,8094
153,2016-12-01,7994
154,2016-12-02,10533
155,2016-12-03,13125
156,2016-12-04,8370
157,2016-12-05,6466
158,2016-12-06,7132
159,2016-12-07,8072
160,2016-12-08,8655
161,2016-12-09,11896
162,2016-12-10,14067
163,2016-12-11,9589
164,2016-12-12,7089
165,2016-12-13,7685
166,2016-12-14,9130
167,2016-12-15,9111
168,2016-12-16,12449
169,2016-12-17,14826
170,2016-12-18,9545
171,2016-12-19,8021
172,2016-12-20,8819
173,2016-12-21,10366
174,2016-12-22,12646
175,2016-12-23,12009
176,2016-12-24,12097
177,2016-12-25,8975
178,2016-12-26,8470
179,2016-12-27,9756
180,2016-12-28,12102
181,2016-12-29,11648
182,2016-12-30,9966
183,2016-12-31,4096
184,2017-01-01,2263
185,2017-01-02,3437
186,2017-01-03,3866
187,2017-01-04,4980
188,2017-01-05,6027
189,2017-01-06,8620
190,2017-01-07,10563
191,2017-01-08,8220
192,2017-01-09,6431
193,2017-01-10,6226
194,2017-01-11,6793
195,2017-01-12,6916
196,2017-01-13,9858
197,2017-01-14,11398
198,2017-01-15,7286
199,2017-01-16,6016
200,2017-01-17,6820
201,2017-01-18,7763
202,2017-01-19,7866
203,2017-01-20,10055
204,2017-01-21,12335
205,2017-01-22,8034
206,2017-01-23,6145
207,2017-01-24,6985
208,2017-01-25,7883
209,2017-01-26,8238
210,2017-01-27,11039
211,2017-01-28,12587
212,2017-01-29,8764
213,2017-01-30,6456
214,2017-01-31,7496
215,2017-02-01,7469
216,2017-02-02,7563
217,2017-02-03,9741
218,2017-02-04,12430
219,2017-02-05,7667
220,2017-02-06,6138
221,2017-02-07,6970
222,2017-02-08,7646
223,2017-02-09,7326
224,2017-02-10,10577
225,2017-02-11,11679
226,2017-02-12,8442
227,2017-02-13,6621
228,2017-02-14,7527
229,2017-02-15,8670
230,2017-02-16,8709
231,2017-02-17,11052
232,2017-02-18,12596
233,2017-02-19,9248
234,2017-02-20,6148
235,2017-02-21,7547
236,2017-02-22,8577
237,2017-02-23,8527
238,2017-02-24,11472
239,2017-02-25,13206
240,2017-02-26,9347
241,2017-02-27,6982
242,2017-02-28,7728
243,2017-03-01,7775
244,2017-03-02,7898
245,2017-03-03,10956
246,2017-03-04,12864
247,2017-03-05,9238
248,2017-03-06,6574
249,2017-03-07,7604
250,2017-03-08,8604
251,2017-03-09,8881
252,2017-03-10,11864
253,2017-03-11,13531
254,2017-03-12,9913
255,2017-03-13,7474
256,2017-03-14,8430
257,2017-03-15,8844
258,2017-03-16,9562
259,2017-03-17,12099
260,2017-03-18,13248
261,2017-03-19,12118
262,2017-03-20,8379
263,2017-03-21,7674
264,2017-03-22,9356
265,2017-03-23,10029
266,2017-03-24,12667
267,2017-03-25,13947
268,2017-03-26,9248
269,2017-03-27,7853
270,2017-03-28,9613
271,2017-03-29,10275
272,2017-03-30,10488
273,2017-03-31,11615
274,2017-04-01,12504
275,2017-04-02,9536
276,2017-04-03,7626
277,2017-04-04,8063
278,2017-04-05,8995
279,2017-04-06,8818
280,2017-04-07,10965
281,2017-04-08,12741
282,2017-04-09,8689
283,2017-04-10,6755
284,2017-04-11,6713
285,2017-04-12,8595
286,2017-04-13,9162
287,2017-04-14,12163
288,2017-04-15,13757
289,2017-04-16,9987
290,2017-04-17,6142
291,2017-04-18,8749
292,2017-04-19,9219
293,2017-04-20,8797
294,2017-04-21,12359
295,2017-04-22,13212
